species,altitude,totalmass_dry,rootshootratio,above_groundmass,root_dry,RMR,leaf_totalmass,LMR,stem_dry,SMR,SLA,specific root length,root tissue density,specific root area,Root.Length.Diameter.Range.1.mm,Surface.Area.Diameter.Range.1.mm2,Volume.Diameter.Range.1.mm3
Erigeron canadensis,470,1.64,0.171428571,1.4,0.24,0.146341463,0.84,0.512195122,0.56,0.341463415,1.78E+02,10932.73439,7.87E-06,69261.37969,2016.228492,3635.757134,776.054015
Erigeron canadensis,705,0.75,0.136363636,0.66,0.09,0.12,0.31,0.413333333,0.35,0.466666667,3.45E+02,26340.7696,1.95E-05,71377.7354,2121.134637,3229.211556,624.196149
Erigeron canadensis,705,0.3936,0.192727273,0.33,0.0636,0.161585366,0.14,0.355691057,0.19,0.482723577,3.44E+02,42639.14176,4.02E-05,66100.56701,2617.74872,3109.844355,446.64164
Erigeron canadensis,705,1.4,0.147540984,1.22,0.18,0.128571429,0.76,0.542857143,0.46,0.328571429,2.84E+02,11056.64149,2.58E-05,38733.14765,1757.413589,3185.013889,678.567955
Erigeron canadensis,705,1.07,0.188888889,0.9,0.17,0.158878505,0.39,0.364485981,0.51,0.476635514,3.51E+02,22386.12332,7.88E-06,84769.92468,3335.628364,4949.895599,908.149926
Erigeron canadensis,705,0.4317,0.166756757,0.37,0.0617,0.142923326,0.18,0.41695622,0.19,0.440120454,4.93E+02,24812.31979,4.44E-05,47962.35246,1431.58712,1860.035232,313.46196
Erigeron canadensis,705,0.5763,0.1526,0.5,0.0763,0.132396321,0.27,0.468505986,0.23,0.399097692,3.71E+02,17855.12831,1.14E-05,75632.42512,1115.196944,1803.827578,369.584265
Erigeron annuus,705,0.89,0.186666667,0.75,0.14,0.157303371,0.22,0.247191011,0.36,0.404494382,5.11E+02,31495.4858,1.12E-05,96078.36509,3843.001558,5173.258095,948.054226
Erigeron annuus,705,2.39,0.593333333,1.5,0.89,0.372384937,0.32,0.133891213,0.91,0.380753138,3.60E+02,1139.077194,6.32E-05,9471.800518,650.003324,1596.712623,433.549533
Galinsoga quadriradiata,1497,1.05,0.09375,0.96,0.09,0.085714286,0.42,0.4,0.39,0.371428571,5.10E+02,45032.31903,2.62E-06,206920.8015,3458.053887,5232.753783,977.937884
Galinsoga quadriradiata,1497,1.7,0.08974359,1.56,0.14,0.082352941,0.69,0.405882353,0.65,0.382352941,4.07E+02,24722.39778,3.66E-06,132233.3393,2889.546108,4795.500791,979.687224
Galinsoga quadriradiata,1497,1.42,0.109375,1.28,0.14,0.098591549,0.43,0.302816901,0.6,0.422535211,3.35E+02,35048.69396,5.66E-06,122219.8871,4428.891266,6907.654455,1300.020041
Galinsoga quadriradiata,1497,0.884,0.099502488,0.804,0.08,0.090497738,0.444,0.502262443,0.29,0.328054299,3.26E+02,51061.9236,5.26E-06,148426.7279,3763.102004,5347.247356,938.863077
Galinsoga quadriradiata,1497,1.12,0.056603774,1.06,0.06,0.053571429,0.43,0.383928571,0.48,0.428571429,3.00E+02,61054.27368,4.41E-06,190214.9098,3308.62999,5063.335054,953.451053
Erigeron annuus,1497,6.37,0.164533821,5.47,0.9,0.141287284,1.38,0.216640502,3.85,0.604395604,2.85E+02,4740.634117,5.07E-06,57328.21617,2766.08461,4927.954794,1118.597474
Erigeron annuus,1497,6.3,0.153846154,5.46,0.84,0.133333333,1.36,0.215873016,3.58,0.568253968,3.33E+02,2597.357708,2.21E-05,20686.63974,1544.624325,2651.339175,560.918173
Erigeron annuus,1497,7.07,0.091049383,6.48,0.59,0.083451202,1.17,0.165487977,4.25,0.601131542,1.94E+02,8883.946612,4.15E-06,75913.57594,4046.520353,6615.906155,1318.756433
Erigeron annuus,1497,1.87,0.087209302,1.72,0.15,0.080213904,0.35,0.187165775,1.14,0.609625668,2.94E+02,14683.80908,1.64E-05,48913.48288,1959.476047,2898.921528,521.393224
Erigeron annuus,1497,2.92,0.154150198,2.53,0.39,0.133561644,0.78,0.267123288,1.55,0.530821918,2.93E+02,16204.79825,9.33E-06,59130.64047,5696.130203,8436.547045,1479.303152
Erigeron canadensis,1388,0.86,0.387096774,0.62,0.24,0.279069767,0.33,0.38372093,0.29,0.337209302,2.57E+02,16777.18576,1.93E-05,51430.56231,3655.867688,5888.672761,1107.076765
Erigeron canadensis,1388,2.15,0.143617021,1.88,0.27,0.125581395,1.18,0.548837209,0.7,0.325581395,3.28E+02,20770.80506,7.27E-06,92105.2134,4697.528941,8799.227269,2042.21097
Erigeron canadensis,1388,0.66,0.2,0.55,0.11,0.166666667,0.31,0.46969697,0.24,0.363636364,3.19E+02,40462.80201,2.52E-06,208801.0693,3716.677505,6145.797115,1268.68865
Erigeron canadensis,1388,2.04,0.165714286,1.75,0.29,0.142156863,1.1,0.539215686,0.65,0.318627451,2.93E+02,23915.65344,4.96E-06,111691.3568,5885.261062,10665.6732,2345.993392
